strategy,corpus,metric,value
1,primary,stor_c1,20
1,primary,stor_c5,208
1,primary,stor_c10,436
1,primary,commit_ms,20
1,primary,checkout_ms,19
1,zero,stor_c10,128
1,allch,stor_c10,1080
1,medium,stor_c15,1568
1,tiny,stor_c5,176
2,primary,stor_c1,12
2,primary,stor_c5,40
2,primary,stor_c10,52
2,primary,commit_ms,22
2,primary,checkout_ms,27
2,zero,stor_c10,24
2,allch,stor_c10,412
2,medium,stor_c15,456
2,tiny,stor_c5,24
3,primary,stor_c1,12
3,primary,stor_c5,52
3,primary,stor_c10,80
3,primary,commit_ms,22
3,primary,checkout_ms,27
3,zero,stor_c10,24
3,allch,stor_c10,464
3,medium,stor_c15,376
3,tiny,stor_c5,24
